text,label
This was a bad move by the Jew puppets .,1
Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,1
Officials are puzzled as to the cause .,0
I Can tell you right now if a black mob is threatening my life and burning my town I 'm going to start shooting .,1
And im sure theres a lot more people that would do the same .,0
The Negro Pre-Adamite beast girl complains that this somehow mysteriously `` targets '' her .,1
"If your house door was locked , but at midnight your neighbor opened the door for some muslims to come inside and take your stuff , rape your wife and beat you nearly to death ... would you still think your neighbor was a nice guy ?",1
"I do n't watch any movie that is made for blacks or has a black in the lead roll and I ca n't find humor in the black race with all of the crime they comit against the white man , to hell with them .",1
I cant stand this guy and hate it when i meet whites and they say how funny they think he is o.k. take away the anti white jokes for a minute the guy just aint funny at all it just blows my mind how they have some talentless black fool in films but you will never see a untalented white basketball player .,0
He is a pathetic little chimp .,1
Neither one is better than the other .,0
com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,0
"Ever since SF came back on line people have adopted a more aggressive line of debate , the threads I have been on seem to have gone that way pretty quickly anyway .",0
These idiots are doing this to hasten Armageddon so they can get a free ride to heaven .,1
And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,1
It 's close to Finnic and Estonian .,0
"Liked the music , by the way .",0
"Thank you for your kind words , hope to meet you in the new white world one day soon .",1
"At the link just below , I 've been urging our brothers and sisters in South Africa to run that message or a similar message on that site every month : Malaysians , Venezuelans , Chinese let White House broadcast their agendas",1
The Bear Sterns Report on Illegal Immigration Stormfront National Vanguard David Duke American Renaissance,0
The non white homelands have so much trash and crime in them that non whites mainly choose to stay away .,1
"Absolutely, whenever i see a dirty white coon with dreadlocks i get the urge to grab him by his flea blanket head and head butt him senseless",1
Just shows the absurdity of Obamamania : an athletic white woman attacks one libtard to proclaim the holiness of another libtard who may be worse !,1
Every white person from Michigan knows that our Detroit negros are the worst in America .,1
"French and Spanish are offered , but there is only one french teacher , as opposed to our 4 or more Spanish teachers , so the number of students able to take French is VERY limited .",0
Here you would be in and out of the ghetto in prob under a minute .,0
Those visionary and responsible negroes ...,1
"Traitors are pathetic ignorant fools , and negroes are fools because they are starting to literally bite the hands that feed them .",1
I think I stumbled on this thread before and thought I 'd get back to it and forgot .,0
"Yeah, if msnbc would air videos like this they 'd get much higher ratings than the same ole negro grumblings .",1
"http://youtube.com/watch ? v = gdYJjU-Nx6E The maker of this video may be Jewish , not sure , he has a big kosher-lookin nose .",1
Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,1
Welcome to the front lines ...,0
the father said on the news this morning the church has already told him they would appel the verdict and if they lost again they would just file bankruptcy and he wouldnt see a dime !,0
General1812 I think maybe they now starting to have cold feet ; as the race who have feed them will die out .,1
When the tea party people have a event and very few minorities show up its the White tea party people who are racist .,0
See the pattern .,0
"On his first day of school , he is tormented by the evil spirited White children .",0
Just as soon as they repay for the generations of welfare their majestic peoples have consumed .,1
"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",1
"I think it 's time for some old west justice ... like takin ' these two sombitches out and ..... well , I think you get my point .....",1
Nice to know that are still a few men out there who `` have a pair '' .,0
"Yep the bottom line is without a strong family behind her a young girl is very vulnerable .. The Jew knows this and Glamorises the Negro using its media power , here we see the results .",1
"Yes, he has a red Firebird so the wigger 's parents thought he had promise just like all those fictional characters on t.v.",1
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,1
They should be tried for being accessories to murder !!!!!!!!!!!!,0
What alternative do you have other than kill the black policeman and every black cop you can until they get you .,1
They probably arrest them and throw them in jail so that they will be raped and infected with AIDS .,1
And these words of wisdom come from a man that thinks another mans anus as well as his own was made to be used as a vagina :,1
It will be the same here when the goodies run out .,0
Are there any whites left in that craphole or have they all been killed ?,1
"Good going libtards , you ruined Rhodesia .",1
We need to make sure every white child and adult is fed before we worry about helpless people who have to eat cow crap in order to survive .,1
`` Those evil Whites .,1
"We have to kill off all of the Whites so we can go back to eating cow dung ! """,1
"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",1
May they all get mad cow disease .,1
They are too dung stupid to be able to tap into the market .,1
They would be better off just sitting out in the sun eating a dirt sundae .,1
It is n't enough that we support mesico now we have to support africa .,1
I wish everyone would leave them to their own demise so we can be done with it .,1
"Simply put , they are AT LEAST 100,000 years behind evolved creatures on the evolutionary scale with no hope of ever progressing .",1
When do they ever learn !!!!,0
What causes Cholera in the first place ??,0
"Cholera is most common in Africa , southern and Southeast Asia , and the Middle East .",0
* Unsubscribed * Off to the SA threads .,0
I hope that black creep does not get off easy .,1
At this point I will assume the media is lying about everything other than a Negro being arrested for his murder .,1
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then .",1
"Let's hope he 's right , and that the heads of the Marxist elites currently ruling Europe start to roll .",0
I wonder if this guy still thinks the Jews are a good thing after the Jews just tried to start a war between NATO and Russia ?,1
They aught be ashamed of themselves for covering up or downplaying the story about these predators .,1
I would willing risk jail time if it meant I could get my hands on them or anyone who does that to a white child .,0
Teacher caught selling drugs at school .,0
"See, South Africa is just a glimpe into OUR future , as the beasts of Memphis run it directly into the ground .",1
Always nice to see a negro on the receiving end of a beat down from a white for a change .,1
"We know they cant swim , but they might not remember that in their lust for ' dat money ' .",1
Do they discharge soldiers from the military if they get STDs or letting them stay and allowing them to put their comrades at risk ?,0
I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,0
Ohio in general looks to be in bad shape .,0
The Chinese have really built their country in the past few decades and that included lots of high speed rail .,0
We spent our time trying to get our Negroes to learn how to read .,1
"YouTube - Orangutan Towan Paints at Woodland Park Zoo , HD",0
What a pathetic loser b ! tch ! : goof,0
"Yah , I guess there is !!!",0
Apes even have the instinct to basically leave these for dead .,1
I hope this little groid tortures her .,1
Also I agree it 's not fair to monkeys to compare them to black people .,1
What typical brainwashed liberal lemming .,1
"Hundreds of people , but no blacks !",0
Thanks for posting .,0
"It's as if these people were like this all along , and it was only white civilization and moral nature that kept them in check .",0
"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",0
There are few if any Blacks .,0
The filthy ape gave the horse an infection .,1
These `` black people '' have the nerve to call themselves human. . .,1
"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert .",1
"As I commented a few days ago on this thread , massive race ( or ethnic ) mixing tends to preceed massive race ( or ethnic ) war .",1
"There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab.",1
I hope all their farms burn down and their nappy headed children squandle in the flames .,1
"As soon as i found out she was with child by a mulatto and she 's a wet back too , I suddenly found her to be repulsive and shall never watch anything she is in again .",1
I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,1
"If it 's brown , flush it down .",1
It ai n't right unless it 's White .,1
"1/2 messican , 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all .",0
I've heard the name before but I too have no idea who she is .. one of the benefits of turning off the Talmudivision and watching very few modern movies,1
She was probably the victim of a groid rage rape also .,1
"Unfortunately I have n't kept up with this maddening story , but have hate crime charges been filed against these black apes ?",1
These groids went haywire when they got in there and found themselves a white girl .,1
That 's every groid 's wish anyways .,1
String ' em up !,1
Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,1
The Rest Of The Story,0
Not only is this case typical of the feral sub humans but it 's a perfect example for our people of how totally out of control they are and that they cannot be allowed to remain among us .,1
They probably have a 150 I.Q. with all three of them combined .,1
I have to help I WILL NOT see these animals go free !!,1
man as that video went along i got more and more fearful that there would be a tag at the end stating all in the video had been assaulted or murdered. glad it turned out better than that .,0
Negros are so dumb .,1
I hope I see the day when thease worthless pieces of crap are OUT OF HERE .,1
"Hell, if he had been white they would have thrown his ass in jail , suspended him from school , and it would have been all over CNN ABC NBC and CBS .",0
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",1
"As the saying goes , you can take the ape out of the jungle , but you ca n't take the jungle out of the ape .",1
( Source of quote. ),0
"Long time no post , Turbo , good to see you back .",0
The way Jews work together with such cunning would be admirable if their works where not to such disgusting evil ends .,1
Powerful video that shows how primitive these beasts are .,1
Sub 70 I.Q. I would say for sure .,1
Why should we try to civilize that which cannot be domesticated or civil ?,1
Wasn't it the Government in the Congo that was at war with the gorillas a while back because the gorillas were `` threatening their superiority '' ?,1
There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .,1
The doctors of ju-ju and voodoo seem to have left their mud huts and moved into office buildings built by White people in cities built by White people .,1
Now there 's a medical advancement to think about .,0
I've always said that black people make the perfect slaves because anyone who cannot or will not take responsibility and be master of their own lives is already a slave .,1
"http://news.bbc.co.uk/2/hi/africa/6217719.stm There you have it folks , Nigeria is acting like one big ghetto queen squeezing out more baby negroes for a bigger handout from the government .",1
I thought Bono and Clooney were picking up the tab for Africa ??,0
http://abcnews.go.com/International/print ? id = 2483106 AP Story,0
"But if White people find a user for a plant native to Africa , the negroes want a royalty .",1
"You can take a negro out of Africa and have it grow up in Boston and Orlando , and it still reverts to its innate negro ways the moment it hits its native African soil .",1
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,1
I believe these apes may be on to something by chopping off penises to cure aids .,1
An ape without a penis will never be able to pass it on to others .,1
Why have n't we thought about that over here ?,0
"I believe , judging from your other posts , that you belong more towards the back .",0
And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .,1
I hope they all starve .,1
No white person should send a single penny or lift a single finger to help them .,1
Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,1
"Oh, yes they will skin us alive if given the chance .",1
"He walks upright , and has human arms and legs .",1
I 've seen negroes who look ( and undoubtedly act ) like him .,1
"I'd say that here on SF , most of the thread derailers are crypto-antis who do n't give hoot about Thor or Jesus .",0
It is always about divide and conquer.If you look at the Golden Dawn pictures they usually have women around there.Unity among Whites is a must between the sexes .,0
"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",0
I will respond until Armenian scum will stop,1
Precisely!,0
"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",0
Where a white woman can go about in public and not fear assault by muds .,1
"I went to Oklahoma for thanksgiving and spent over a $ 100.00 on their ( Amish ) pies , turkey and other food .",0
I just took that test .,0
I have taken THAT particular test like ten times before .,0
It 's a symbol demonstrating a lack of oxygen to the head of all its members .,1
"Allow me to apologize for my last post , as I was drinking heavily last night but you callin me a genetic lottery winner ? come on now I 've had my fair share of hard times just last week a yellow person came into my place of work and started making trouble .",1
It's going to take everyone working together to beat the New World Order .,1
"And it ai n't your daddy 's New World Order either , more like a Jew World Order .",1
I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,1
They're coming out of the woodwork to oppose white unity and White History Month .,1
When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,1
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,1
because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .,1
Whites in all their glory against impossibly large hordes of non-whites .,1
the entire system of classes are a marxist invention. the judeo-bolsheviks are using this to divide our society. in other words ' Divide et impera ' .,1
Our enemies have used RACE against us and are currently trying to destroy our RACE through a variety of different means .,1
"We can work together and look after each other which blacks cant. We can think as individuals and do things because they are right and not because we are told to , which asians cant.",1
We do need to stop judging each other and get o line for an hour and go do something `` positive '' in our area.Lets talk solution not petty diferences .,0
Very informative .,0
This is why libtards and Jews call us white supremacists and get away with it .,1
( As I watch from the safety in front of my computer monitor. ),0
No wonder Black dudes go for White chicks - they only have to punch them a few times to knock them out !,1
With Black girls it takes a baseball bat - who carries a mu-ff' in baseball bat on a date ??,1
Black ``women''on London transport ...,1
Sadly that is what happens when you dumb down a society and make everything sexual.Not even innocent animals are out of the question for these sickos .,1
The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,1
This disgusting negro makes us ( white people ) look bad .,1
He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,1
Crippin nigga .,1
WE CRIPPIN NIGGA .,1
It makes me tired .,0
Sexual assault suspect caught on cellphone video - YouTube Rape Suspect Caught On Cellphone Video Arrested - News Story - KTVU San Francisco Dion McDaniel 's mugshot,0
I just cant stand to listen to negros sing and 30 sec. is all I could handle .,1
"It 's amazing how stupid liberals are , even after being nearly murdered for being white Mr. Begley is still a ridiculous * * * * * * -loving fool .",1
Wow ..,0
"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",0
"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",0
And then there is the pesticides on your fresh ( ? ) fruit and veggies .,0
Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !,1
"Better yet , make her the poster child for Black Resettlement ! Spending her days digging for grub worm dinners would actually be good for her .",1
"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",1
This is black behavior as well .,0
Lack of compassion seems to go hand and hand with lack the of White blood .,1
Humans and negroes use restaurants in entirely different ways .,1
I looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitors and follow the other followers types .,1
Those nogs in France do n't belong there and then they show how unruly they can be .,1
Send them all to Afreaka And sink the farkin boat !,1
YouTube - Fight At Chuck E. Cheese In California !,0
http://www.newnation.tv/forums/showthread.php ? t = 207286,0
Major chimp-out at hip hop awards .,1
"Once again , blacks showing they cannot control themselves .",1
Blacks seem to be hell bent on embarrassing themselves and acting like animals everywhere they go .. this is pretty typical behaviour ..,1
"YouTube - Black mugger sentenced to 75 years in prison for hate crimes against elderly women YouTube - Cop 's mace vs black guy 's kung fu YouTube - African American man sprays semen on white woman in supermarket YouTube - White guy beaten nearly to death by Blacks for dating a Black woman , no hate crime there YouTube - Broadcast Yourself .",0
"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",0
"Me thinks Genesis is a negro who thinks he 's from the line of Adam.A troll , confused , black and prowling Stormfront.So make the Revelation Genesis - what are you really up to ?",1
YouTube - Woman Opens Strip Club In Trailer Home For Teens And Offers Lap Dances To Children !,0
"More black-on-white savagery : YouTube - Racist Black gangs are targeting White men for hate crimes in Baltimore YouTube - White Boy Beat Up Because of Slavery YouTube - 32 gangbangers arrested in hate crime roundup for targeting Whites and Latinos YouTube - Violent , racist African immigrants",1
More negro savagery : YouTube - Detroit : 3 Black Males Murder pregnant white woman .,1
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .",1
As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,1
OSLO TURNING INTO A MAJOR CRIMINAL MUSLIM MECCA,1
Those islamic disease tend to mimic Whites or copy White concepts in various forms and many of them are light skin and even looked like Whites .,0
I hope this will catch on like the 14 words .,0
Racial preservation is the belief that the existence of a certain race must be preserved ( and well of course its culture ) .,0
I've posted a thread in Stormfront Latin to help spread the WNPS and too see if we can get more translations .,0
"The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .",1
"Another reason it might say so in the Census is because whites like me refused to fill out the census , to deliberately help skew it towards whinorities .",0
Never date outside your race Someone on this site has it on their posts,0
Police threaten woman for requesting white housemates .,0
"France has been gone for a long time , we will have to retake it later because there will be no French people in not too long .",1
Dreaming of a Future World ( Full Version ) - YouTube Dr William Pierce .,0
"They should make all know about this book his friends as that they know like are the things , we need that all the whites know like they are the things and the Jewish threat and negroid on our race .",1
I utterly want to vomit after watching this disgusting pro invasion of White countries ad .,0
I do like the outfit they dressed the simian in ; he looks so regal,1
I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,1
"if you have enough money for high speed internet to download it you can probably afford the book ! you have your priorities mixed up if you have high speed internet which you 'd need to d/l it but cant feed your kids , lol .",0
This is the main logo when you sign on to their website,0
All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,1
Construction Workers React to `` Wrecking Ball '' - YouTube,0
The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..,1
"We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .",1
Gatsby Coram & Stoney Westmoreland - FedEx Commercial `` Vacation at home '' - YouTube,0
"http://www.japantoday.com/category/n...a-bound-flighthttp://www.washingtonpost.com/wp-dyn...071301714.html Uzodinma Iweala is the author of `` Beasts of No Nation , '' a novel about child soldiers .",0
"Hispanics , Blacks and Asians are all doing it .",1
of course they wo n't. they just want to steal our land. they would n't stop until we are all dead. and neither would we .,1
"Also, it 's so sad to see so much pre made crap in their grocery buys .",0
I was really worried about this one because I thought a bunch of groids were going to hop out of the cars signifying the town to get so excited and the women to remove clothing ....,1
A wind of change is starting to blow .,0
"To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers .",1
The only thing more disgusting than a White woman with a groid is a White woman who drags her White child into the filth with her .,1
Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,1
I sure hope you 're right .,0
"zpridez NO big deal , I got your drift.IMO If these bellyaching Black peoples et al continue to negate/or ignore the present ' Products of Progress ' within society we 're all doomed .",1
"But unfortunately , Maine 's become the dumping ground for Somalis and other African trash .",1
This fight isnt over yet .,0
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,1
Don't eat a Snickers candy bar ... it will turn you into a negro ! ( Also has the obligatory White doofus guy at the end. ),1
Well I wonder if its started messing with the daughter yet .,1
No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,1
When ever I see these white children murdered by these sub humans it makes me so angry I could cry .,1
How can others be so blind to this ?,0
There are 150K or so on SF and the other hundreds of millions just walk thru life with blinders on .,0
"A federal judge in New York closed a filthy jew kosher slaughterhouse Tuesday , saying the plant 's dirty birds posed a health risk to the community .",1
The Jew represents the snake .,1
The ugly black will always be .... black !,1
"It's probably a combination of the sexual tastes of homosexuals ( toward the adolescent ) in the agency , and the racial agenda of liberals in the agency .",1
Homo neanderthalensis was just a dumb negro subspecies of the negroid species and never white-european .,1
I 've only recently came to new conclusions ; or found old ones .,0
"Holly Quick , age 16 , brutally raped and murdered by an apelike negro .",1
"May you rot in Hell , `` Tamir . '' http://news.rgj.com/apps/pbcs.dll/ar ... 34/1004/NEWS19",0
Innocent whites including white children all murdered by heartless groid savages .,1
"Ya know , if they can sell this stuff to White women , what CAN' T they sell them ? They could literally spread dog poop on a bun and charge $ 10 a sandwich ... I ca n't wait to see the commercials and watch some beauty like Sandra Bullock sink her teeth into it !!",0
"I'm 22 years of age and I plan to have 3-4 kids but I do n't feel I can be a father now , I will start have my kids around age 27 .",0
"No matter how many times I browse through it , its impact does n't lessen .",0
We need to eliminate all of those elements from the white race .,1
Angela Spain was murdered in her home by a drifter negro .,1
"just saw a hershey 's commercial on tv , ca n't find it on jewtube shows a White woman happily sharing candy with some mop headed groid male on an escalator guess I wo n't be buying that stuff ever again",1
"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",1
Separation is the only answer !,1
If they were jew pieces of garbage who the hell cares what happened to them .,1
"Since they are just little kids i do n't want to be rude , but how ugly is the black kid compared to the others ? it 's not even adorable , it 's kinda scary lol",1
"Do you notice how the primate 's , I mean black kid 's arm is around the white girl ?",1
I will say I love God as much as I like .,0
A former accountant for retailer American Apparel Inc. has filed a wrongful termination suit against the company alleging that he was fired after refusing requests from Chief Executive jew Dov Charney to inflate figures on the company 's balance sheet .,0
Then your gonna see what hell is like .,0
Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women,1
I 'm glad we were able to get back to NS in the NS thread .,0
"A non-citizen shall have no such rights , but also no such duty .",0
http://www.nogw.com/download/ _ 07 _ il _ kidnap _ aussie.pdf,0
Who the hell cares if its not kosher ...,1
"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",1
Making them up a history because they have none ?,0
"Anybody with half a brain knows that 's it 's BS and how Negroes have n't done anything for the development of any society , let alone Europe .",1
[IMAGE: Melvin Weiss .,0
Did you see the video .,0
They act quite civilized in the video but i suppose they went on a mugging spree after .,1
RAMMSTEIN - 18.Ich will ( 2012-02-11 - Moscow ) - YouTube,0
Ukraine needs to rid itself of these Jewish Oligarchs .,1
"They have no allegiance to Ukraine , their allegiance is to their god of money , power and the eternal enslavement of the hated goyim .",1
"But you must know that caucasians is not like blacks , they just animals and subhumans .",1
Sounds like a smart idea .,0
We are more concerned about ZOG controlling US and Russia .,1
"ok, so do we need to kill them too or are the slavs okay ? for some reason whenever i hear the word slav , the word slobber comes to mind and i picture a slobbering half breed creature like the humpback of notre dame or Igor haha",1
Then how come the only ones they arrested in connection with those attacks were active FSB agents ?,0
Or are the CIA and FSB on the same team ?,0
"No, it`s untrue .",0
Such is the sign of our time ...,0
"they need to feel it on their skin , so next time they wont give my land to the some subhuman muslim dogs .",1
YouTube - Vide Cor Meum Brilliant .,0
75 % of junior high Student 's could n't point out New york state on a map .,0
Israely Zionist indeed prepeared the Georgian attack .,1
About 1000 of Israely military specialists voluntary ( they say so ) served in Georgian army.To prepare the assault on Tshinvaly .,0
"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",0
"Wow she is beautiful and a WN , I like her seig heil salute we need more women like this , she is very beautiful indeed .",0
"Ignore the genocide on Serbs , turn your back on your own people .",0
Well they have got to be more aware then the idiots we have over here absorbing all the bs with there little sponge brains .,1
"Indeed, it is quite odd for something like this to be posted on this forum .",0
R1b is the most common haplotypes defining the Europeans,0
i found another example of a so called `` russian '' turk who hates armenians and georgians .,0
Whiter than Armenians for sure .,0
The only way to deal with these animals is to give them a one way ticket to their filthy pig god .,1
"``RiceArrives in Lithuania for NATO Talks . '' http://news.bbc.co.uk/1/hi/world/europe/4466747.stm Go Home to Africa , Condoleeza Rice !",0
"Yes, she was born in Svrljig ( 11 .",0
"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",0
"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live .",0
They do it not because of their nationalism but rather due to their hatred of Russians .,0
